TOWN_ID,TOWN
325,WEST SPRINGFIELD
326,WEST STOCKBRIDGE
327,WEST TISBURY
328,WESTBOROUGH
329,WESTFIELD
330,WESTFORD
331,WESTHAMPTON
332,WESTMINSTER
333,WESTON
334,WESTPORT
335,WESTWOOD
336,WEYMOUTH
337,WHATELY
338,WHITMAN
339,WILBRAHAM
340,WILLIAMSBURG
341,WILLIAMSTOWN
342,WILMINGTON
343,WINCHENDON
344,WINCHESTER
